,SEMANA 2,,,,,,,,,,
,LUNES,,MARTES,,MIÉRCOLES,,JUEVES,,VIERNES,,SÁBADO Y DOMINGO
DESAYUNOS,Porridge,-,Tortilla rellena,-,Yogur y granola,-,Jamón serrano,-,Yogur y granola,-,"Donuts orginal, crepes o croisants, charcutería, tomate rallado, pan"
DESAYUNOS,Aguacate,-,Queso brie,-,Bizcocho de zanahoria,-,Aguacate,-,Lacon ahumado,-,
DESAYUNOS,Pechuga de pavo,-,Tomate rallado,-,Salchichón,-,Zumo de naranja,-,Tomate rallado,-,
DESAYUNOS,Tomate rallado,-,Pan,-,Tomate rallado,-,Tomate rallado,-,Pan,-,
DESAYUNOS,Pan,-,,,Pan,-,Pan,,,,
COMIDA,Ensalada Cesar ,,Ensalada mixta,,Ensalada griega,,Ensalada de escarola,,Ensalada caprese,,Ensalada de arroz
COMIDA,Espaguetis carbonara,,Arroz caldoso de marisco,,Pescado del día al horno,,Cocido madrileño,,Solomillo al whisky,,Crema de verduras
COMIDA,Macedonia de frutas,,Postre: Coulant de chocolate caliente,,Espinacas a la crema,,Postre: Natillas,,Patatas gajo asadas,,Atún encebollado
COMIDA,,,,,,,,,,,Solomillo al whisky
CENA,Ensalada,,Ensalada ,,Ensalada,,Ensalada ,,Ensalada ,,
CENA,Chuletas de pavo al ajillo,,Sopa de picadillo,,Tortilla de espárragos,,Pez espada al limón,,Pizzas variadas,,
CENA,Verduras asadas,,Berenjenas rellenas,,Albóndigas con tomate,,Guisantes salteados,,,,
