SEMANA 8,,,,,,
,,,,,,
COMIDA,LUN,MAR,MIÉ,JUE,VIE,SAB Y DOM
DESAYUNO,Porridge,Huevos cocidos,Yogur y granola,Jamón serrano,Yogur y granola,"Donuts orginal, embutido, tomate rallado, pan"
DESAYUNO,"Queso mozarella, tomate y albahaca",Queso brie,Bizcocho de limón,Aguacate,Lacón ahumado,
DESAYUNO,Aguacate,Tomate rallado,Salchichón,Zumo de naranja,Tomate rallado,
DESAYUNO,Pan,Pan,Tomate rallado,Tomate rallado,Pan,
DESAYUNO,,,Pan,Pan,,
COMIDA,Ensalada Cesar ,Ensalada mixta,Ensalada de escarola,Ensalada griega,Menú especial: Viernes de graduacion,Elaborar platos con lo que queda de stock
COMIDA,Lasagna de atún y espinacas,Potage garbanzos con bacalo,Pescado del día al horno,Arroz a la cubana,,
COMIDA,Macedonia de frutas,Postre: Brownie,Espinacas a la crema,Postre: Tarta de manzana,Postre especial y vino,
CENA,Ensalada Cesar ,Ensalada mixta,Ensalada de escarola,Ensalada griega,Ensalada completa,
CENA,Chuletas de cerdo a la plancha,Croquetas de jamón,Butifarra asada,Merluza rebozada ,Hamburguesas,
CENA,Verduras asadas,Crema de zanahoria,Judías blancas salteadas,Patatas al vapor,Patatas fritas,
