,SEMANA 4,,,,,,,,,,
,LUNES,,MARTES,,MIÉRCOLES,,JUEVES,,VIERNES,,SÁBADO Y DOMINGO
DESAYUNOS,Porridge,-,Huevos cocidos,-,Yogur y granola,-,Jamón serrano,-,Yogur y granola,-,"Donuts orginal, crepes o croisants, charcutería, tomate rallado, pan"
DESAYUNOS,Pechuga de pavo,-,Queso brie,-,Bizcocho de limón,-,Aguacate,-,Lacón ahumado,-,
DESAYUNOS,Tomate rallado,-,Tomate rallado,-,Salchichón ,-,Zumo de naranja,-,Tomate rallado,-,
DESAYUNOS,Aguacate,-,Pan,-,Tomate rallado,-,Tomate rallado,-,Pan,-,
DESAYUNOS,Pan,-,,,Pan,-,Pan,,,-,
COMIDA,Ensalada Cesar ,,Ensalada mixta,,Ensalada griega,,Ensalada de escarola,,Ensalada caprese,,Sopa de picadillo
COMIDA,Lasagna de atún y espinacas,,Potage de garbanzos con bacalo,,Pescado del día al horno,,Arroz a la cubana,,Carrillera de cerdo,,Raviolis a la carbonara
COMIDA,Macedonia de frutas,,Postre: Brownie,,Pisto manchego,,Postre: Tarta de manzana,,Puré parmentier,,Pez espada al limón
COMIDA,,,,,,,,,,,Carrillera de cerdo
CENA,Ensalada,,Ensalada ,,Ensalada,,Ensalada ,,Ensalada ,,
CENA,Chuletas de cerdo a la plancha,,Croquetas de jamón,,Butifarra asada,,Merluza rebozada ,,Cena mejicana,,
CENA,Verduras asadas,,Crema de zanahoria,,Judías blancas salteadas,,Patatas al vapor,,,,
