,SEMANA 0,,,,,,,,,,
,LUNES,,MARTES,,MIÉRCOLES,,JUEVES,,VIERNES,,SÁBADO Y DOMINGO
DESAYUNOS,,,,,,-,,-,Yogur y granola,-,"Donuts orginal, crepes o croisants, charcutería, tomate rallado, pan"
DESAYUNOS,,,,,,-,,-,Caña de lomo,-,
DESAYUNOS,,,,,,-,,-,Tomate rallado,-,
DESAYUNOS,,,,,,-,,-,Pan,-,
COMIDA,,,,,,,,,Ensalada caprese,,Sopa de picadillo
COMIDA,,,,,,,,,Carrillera de cerdo,,Raviolis carbonara
COMIDA,,,,,,,,,Puré parmentier,,Merluza salsa verde
COMIDA,,,,,,,,,,,Carrillera de cerdo guisada
CENA,,,,,,,Ensalada mixta,,Ensalada ,,
CENA,,,,,,,Costillas barbacoa,,Cena mejicana,,
CENA,,,,,,,Sopa de picadillo,,Patatas fritas,,
