,,,SEMANA 2,,,
,LUN,MAR,MIÉ,JUE,VIE,SAB Y DOM
DESAYUNO,Porridge,Tortilla rellena,Yogur y granola,Jamón serrano,Yogur y granola,"Donuts orginal, embutido, tomate rallado, pan"
DESAYUNO,Aguacate,Queso brie,Bizcocho de zanahoria,Aguacate,Lacon ahumado,
DESAYUNO,"Queso mozarella, tomate y albahaca",Tomate rallado,Salchichón,Zumo de naranja,Tomate rallado,
DESAYUNO,Pan,Pan,Tomate laminado,Tomate rallado,Pan,
DESAYUNO,,,Pan,Pan,,
COMIDA,Ensalada Cesar ,Ensalada mixta,Ensalada de escarola,Ensalada griega,Ensalada de canónigos,Ensalada de arroz
COMIDA,Espaguetis carbonara,Arroz caldoso de marisco,Pescado del día al horno,Cocido madrileño,Solomillo al whisky,Crema de verduras
COMIDA,Macedonia de frutas,Postre: Coulant de chocolate caliente,Pisto manchego,Postre: Natillas,Patatas gajo asadas,Solomillo al whisky
COMIDA,,,,,,Carne con tomate
CENA,Ensalada Cesar,Ensalada mixta,Ensalada de escarola,Ensalada griega,Ensalada de canónigos ,
CENA,Chuletas de pavo al ajillo,Sopa de picadillo,Tortilla de espárragos,Pez espada al limón,Pizzas variadas,
CENA,Verduras asadas,Berenjenas rellenas,Albóndigas con tomate,Guisantes salteados,,
