,,,SEMANA 4,,,
,LUN,MAR,MIÉ,JUE,VIE,SAB Y DOM
DESAYUNO,Porridge,Huevos cocidos,Yogur y granola,Jamón serrano,Yogur y granola,"Donuts orginal, embutido, tomate rallado, pan"
DESAYUNO,"Mozarella, tomate y albahaca",Queso brie,Bizcocho de limón,Aguacate,Lacón ahumado,
DESAYUNO,Tomate rallado,Tomate rallado,Salchichón ,Zumo de naranja,Tomate rallado,
DESAYUNO,Aguacate,Pan,Tomate rallado,Tomate rallado,Pan,
DESAYUNO,Pan,,Pan,Pan,,
COMIDA,Ensalada Cesar ,Ensalada mixta,Ensalada de escarola,Ensalada griega,Ensalada de canónigos ,Sopa de picadillo
COMIDA,Lasagna de atún y espinacas,Potage garbanzos con bacalao,Pescado del día al horno,Arroz a la cubana,Carrillera de cerdo,Raviolis a la carbonara
COMIDA,Macedonia de frutas,Postre: Brownie,Espinacas a la crema,Postre: Tarta de manzana,Puré parmentier,Carrillera de cerdo
COMIDA,,,,,,Ragú de ternera
CENA,Ensalada Cesar ,Ensalada mixta,Ensalada de escarola,Ensalada griega,Ensalada de canónigos ,
CENA,Chuletas de cerdo a la plancha,Croquetas de jamón,Butifarra asada,Merluza rebozada ,Perritos ,
CENA,Verduras asadas,Crema de zanahoria,Judías blancas salteadas,Patatas al vapor,Patatas fritas,
