,SEMANA 1,,,,,,,,,,
,LUNES,,MARTES,,MIÉRCOLES,,JUEVES,,VIERNES,,SÁBADO Y DOMINGO
DESAYUNOS,Porridge,-,Huevos revueltos,-,Yogur y granola,-,Jamón serrano,-,Yogur y granola,-,"Donuts orginal, crepes o croisants, charcutería, tomate rallado, pan"
DESAYUNOS,Aguacate,-,Bacon asado,-,Pancakes,-,Aguacate,-,Caña de lomo,-,
DESAYUNOS,Chorizo,,Tomate rallado,,Jamón de york,,Zumo de naranja,,Tomate rallado,,
DESAYUNOS,Queso,-,Pan,-,Tomate rallado,-,Tomate rallado,-,Pan,-,
DESAYUNOS,Tomate rallado,-,,-,Pan,-,Pan,-,,-,
DESAYUNOS,Pan,-,,,,-,,,,-,
COMIDA,Ensalada Cesar ,,Ensalada mixta,,Ensalada griega,,Ensalada de escarola,,Ensalada caprese,,Ensaladilla rusa
COMIDA,Lasaña boloñesa,,Paella de secreto,,Pescado del día al horno,,Lentejas con costillas y chorizo ,,Pollo con almendras,,Arroz basmati
COMIDA,Macedonia de frutas,,Postre: Tarta de queso,,Brócoli gratinado ,,Postre: Flan de huevo,,Arroz basmati,,Pollo con almendras
COMIDA,,,,,,,,,,,Estofado de cerdo
CENA,Ensalada,,Ensalada ,,Ensalada,,Ensalada ,,Ensalada ,,
CENA,Alitas de pollo a la barbacoa,,Sopa de marisco,,Pechuga de pollo a la plancha,,Atún a la Bilbaína,,Hamburguesas,,
CENA,Verduras asadas,,Patatas al vapor,,Tortilla de patatas,,Crema de calabaza,,Patatas fritas,,
